A0- G0:aa G1:88 G2:88 G3:55 A1- G0:a8 G1:88 G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8082 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:00808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8682 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1595 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080a000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151514 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:86828682 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080a000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808000 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a008a008 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828082 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808082 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:b5aab5aa G1:85d584d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80400000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80080000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:8888c888 G3:15151515 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b58a G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:a8888888 G3:15151515 
A0- G0:8080 G1:81d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151d15 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8001 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:95d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:8000 G2:8010 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8001 G2:a000 G3:1515 A2- G0:95aa G1:84d5 G2:a482 G3:5595 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:9000 G2:8888 G3:1515 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80018001 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:84d584d5 G2:a482a482 G3:55955595 
