A0- G0:8080 G1:85d5 G2:8c82 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1505 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:82008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:8195 G2:8482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80008080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:90808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8c82 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5591 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80028000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:84828482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:a000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5ba G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55975595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:45955595 
A0- G0:8000 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:80 G1:85 G2:84 G3:55 A1- G0:80 G1:80 G2:80 G3:15 A2- G0:b5 G1:85 G2:a4 G3:55 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:0000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:35151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828402 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8880 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008040 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d785d5 G2:a482a482 G3:55955595 
A0- G0:c0808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
